ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,"Honey , a typhoon is coming .","Really ? Wow , I don't have to go to school tomorrow .",What is the intended meaning of the target?,"[""I won't go to school tomorrow"", ""I don't like school"", ""I'll stay home home tomorrow"", 'I am happy to stay at home']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Honey , a typhoon is coming .
Target sentence: Really ? Wow , I don't have to go to school tomorrow .
Question: What is the intended meaning of the target?
Choices:

1. I won't go to school tomorrow
2. I don't like school
3. I'll stay home home tomorrow
4. I am happy to stay at home
 The correct answer is:","[(""I won't go to school tomorrow"", 0.332904577255249), (""I don't like school"", 0.08960004895925522), (""I'll stay home home tomorrow"", 0.4550265967845917), ('I am happy to stay at home', 0.1224687471985817)]","[(""I won't go to school tomorrow"", 0.7307446002960205), (""I don't like school"", 0.08198727667331696), (""I'll stay home home tomorrow"", 0.029233461245894432), ('I am happy to stay at home', 0.15803460776805878)]",I'll stay home home tomorrow,I won't go to school tomorrow
2,Here’ s your hot dog and beer . What happened ? Did I miss anything ?,"Yeah , Cal Ripen just hit a home run .",What is the intended meaning of the target?,"['Cal Ripen got at least one point', 'Cal Ripen got one point', 'Cal Ripen is a baseball player', 'Cal Ripen ran home']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Here’ s your hot dog and beer . What happened ? Did I miss anything ?
Target sentence: Yeah , Cal Ripen just hit a home run .
Question: What is the intended meaning of the target?
Choices:

1. Cal Ripen got at least one point
2. Cal Ripen got one point
3. Cal Ripen is a baseball player
4. Cal Ripen ran home
 The correct answer is:","[('Cal Ripen got at least one point', 0.2180330902338028), ('Cal Ripen got one point', 0.4073394238948822), ('Cal Ripen is a baseball player', 0.20482312142848969), ('Cal Ripen ran home', 0.16980433464050293)]","[('Cal Ripen got at least one point', 0.10709986835718155), ('Cal Ripen got one point', 0.03939983993768692), ('Cal Ripen is a baseball player', 0.8164876699447632), ('Cal Ripen ran home', 0.037012726068496704)]",Cal Ripen got one point,Cal Ripen is a baseball player
3,Do you have a lighter ?,"Sorry , I don't smoke .",What is the intended meaning of the target?,"['I am not a smoker', 'I would like to be a smoker', 'I will start smoking', ""I don't like the smell of smoke""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Do you have a lighter ?
Target sentence: Sorry , I don't smoke .
Question: What is the intended meaning of the target?
Choices:

1. I am not a smoker
2. I would like to be a smoker
3. I will start smoking
4. I don't like the smell of smoke
 The correct answer is:","[('I am not a smoker', 0.41352981328964233), ('I would like to be a smoker', 0.2079358547925949), ('I will start smoking', 0.1429120898246765), (""I don't like the smell of smoke"", 0.23562219738960266)]","[('I am not a smoker', 0.2788049876689911), ('I would like to be a smoker', 0.2788049876689911), ('I will start smoking', 0.049212001264095306), (""I don't like the smell of smoke"", 0.3931780457496643)]",I am not a smoker,I don't like the smell of smoke
4,There's a Folk concert tomorrow evening . Do you Want to go ?,I don't like Folk music very much .,What is the intended meaning of the target?,"[""I don't listen to Folk music"", 'I like rock music', 'Folk music is my favourite one', ""I don't like music""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: There's a Folk concert tomorrow evening . Do you Want to go ?
Target sentence: I don't like Folk music very much .
Question: What is the intended meaning of the target?
Choices:

1. I don't listen to Folk music
2. I like rock music
3. Folk music is my favourite one
4. I don't like music
 The correct answer is:","[(""I don't listen to Folk music"", 0.2940143346786499), ('I like rock music', 0.5160111784934998), ('Folk music is my favourite one', 0.05109202489256859), (""I don't like music"", 0.13888253271579742)]","[(""I don't listen to Folk music"", 0.5102465748786926), ('I like rock music', 0.035269517451524734), ('Folk music is my favourite one', 0.16826145350933075), (""I don't like music"", 0.286222368478775)]",I like rock music,I don't listen to Folk music
5,"Could you tell me the right time , please ?",Well . My watch says five past two . But it' s no use rely on it because it has been gaining and losing these last a few days .,What is the intended meaning of the target?,"['The time indicated by my watch could be wrong', ""It's five past two"", ""It's not five past two"", 'I have lost and found my watch in the past two days']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Could you tell me the right time , please ?
Target sentence: Well . My watch says five past two . But it' s no use rely on it because it has been gaining and losing these last a few days .
Question: What is the intended meaning of the target?
Choices:

1. The time indicated by my watch could be wrong
2. It's five past two
3. It's not five past two
4. I have lost and found my watch in the past two days
 The correct answer is:","[('The time indicated by my watch could be wrong', 0.25277936458587646), (""It's five past two"", 0.3677918016910553), (""It's not five past two"", 0.2864365577697754), ('I have lost and found my watch in the past two days', 0.09299232810735703)]","[('The time indicated by my watch could be wrong', 0.31810450553894043), (""It's five past two"", 0.11702410131692886), (""It's not five past two"", 0.13681504130363464), ('I have lost and found my watch in the past two days', 0.42805638909339905)]",It's five past two,I have lost and found my watch in the past two days
6,I'll never ever work together with him !,What happened ? Quarrel again ?,What is the intended meaning of the target?,"['This is not the first quarrel', 'This is the second quarrel', 'This is the first quarrel', 'There was no quarrel']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I'll never ever work together with him !
Target sentence: What happened ? Quarrel again ?
Question: What is the intended meaning of the target?
Choices:

1. This is not the first quarrel
2. This is the second quarrel
3. This is the first quarrel
4. There was no quarrel
 The correct answer is:","[('This is not the first quarrel', 0.21076160669326782), ('This is the second quarrel', 0.3264339566230774), ('This is the first quarrel', 0.17472751438617706), ('There was no quarrel', 0.2880769670009613)]","[('This is not the first quarrel', 0.1987604945898056), ('This is the second quarrel', 0.29374897480010986), ('This is the first quarrel', 0.28919482231140137), ('There was no quarrel', 0.21829569339752197)]",This is the second quarrel,This is the second quarrel
7,If you are staying late will you be sure to lock up the office before you leave?,I hope I won't leave within an hour,What is the intended meaning of the target?,"['I will stay for at least another hour', 'I will leave in about an hour', ""I won't leave"", 'I will be staying less than an hour']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: If you are staying late will you be sure to lock up the office before you leave?
Target sentence: I hope I won't leave within an hour
Question: What is the intended meaning of the target?
Choices:

1. I will stay for at least another hour
2. I will leave in about an hour
3. I won't leave
4. I will be staying less than an hour
 The correct answer is:","[('I will stay for at least another hour', 0.21216937899589539), ('I will leave in about an hour', 0.22585313022136688), (""I won't leave"", 0.3498081564903259), ('I will be staying less than an hour', 0.21216937899589539)]","[('I will stay for at least another hour', 0.3353375494480133), ('I will leave in about an hour', 0.179493248462677), (""I won't leave"", 0.09311987459659576), ('I will be staying less than an hour', 0.39204931259155273)]",I won't leave,I will be staying less than an hour
8,Let me help you with those packages?,"Thanks, but it is only three quarters to the block",What is the intended meaning of the target?,"['The place I need to reach is not too far', 'The place I need to reach is far', 'The block is more than three quarters away', 'The block is less than three quarters away']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Let me help you with those packages?
Target sentence: Thanks, but it is only three quarters to the block
Question: What is the intended meaning of the target?
Choices:

1. The place I need to reach is not too far
2. The place I need to reach is far
3. The block is more than three quarters away
4. The block is less than three quarters away
 The correct answer is:","[('The place I need to reach is not too far', 0.14201515913009644), ('The place I need to reach is far', 0.17130298912525177), ('The block is more than three quarters away', 0.437437504529953), ('The block is less than three quarters away', 0.24924439191818237)]","[('The place I need to reach is not too far', 0.12902067601680756), ('The place I need to reach is far', 0.05052521824836731), ('The block is more than three quarters away', 0.4230424761772156), ('The block is less than three quarters away', 0.39741164445877075)]",The block is more than three quarters away,The block is more than three quarters away
9,This calculator is not working right?,I think you got the battery on upside down,What is the intended meaning of the target?,"['The battery is not correctly positioned', 'The battery is correctly positioned', 'The battery is broken', 'You need to buy a new battery']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: This calculator is not working right?
Target sentence: I think you got the battery on upside down
Question: What is the intended meaning of the target?
Choices:

1. The battery is not correctly positioned
2. The battery is correctly positioned
3. The battery is broken
4. You need to buy a new battery
 The correct answer is:","[('The battery is not correctly positioned', 0.4250236749649048), ('The battery is correctly positioned', 0.4816149175167084), ('The battery is broken', 0.02397819422185421), ('You need to buy a new battery', 0.06938321143388748)]","[('The battery is not correctly positioned', 0.12461493909358978), ('The battery is correctly positioned', 0.09705021232366562), ('The battery is broken', 0.09406428784132004), ('You need to buy a new battery', 0.6842706203460693)]",The battery is correctly positioned,You need to buy a new battery
10,Are you still waiting for Bob?,I don’t know why I bother. The store wll be closed by the time we get there.,What is the intended meaning of the target?,"['The store will close before we arrive', 'The store will close earlier', 'The store is too far', 'We will reach the store before closing']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Are you still waiting for Bob?
Target sentence: I don’t know why I bother. The store wll be closed by the time we get there.
Question: What is the intended meaning of the target?
Choices:

1. The store will close before we arrive
2. The store will close earlier
3. The store is too far
4. We will reach the store before closing
 The correct answer is:","[('The store will close before we arrive', 0.2796069383621216), ('The store will close earlier', 0.2796069383621216), ('The store is too far', 0.05860879644751549), ('We will reach the store before closing', 0.38217735290527344)]","[('The store will close before we arrive', 0.3836626708507538), ('The store will close earlier', 0.10008439421653748), ('The store is too far', 0.13259027898311615), ('We will reach the store before closing', 0.3836626708507538)]",We will reach the store before closing,The store will close before we arrive
