ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,Megan said it would be liberating to go out without makeup.,The girl never wore makeup when she left the house.,Who is the girl?,"['A different girl from Megan', 'Megan', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Megan said it would be liberating to go out without makeup.
Target sentence: The girl never wore makeup when she left the house.
Question: Who is the girl?
Choices:

1. A different girl from Megan
2. Megan
3. It cannot be said
 The correct answer is:","[('A different girl from Megan', 0.2738029360771179), ('Megan', 0.5796408653259277), ('It cannot be said', 0.14655616879463196)]","[('A different girl from Megan', 0.07639394700527191), ('Megan', 0.049323637038469315), ('It cannot be said', 0.8742824196815491)]",Megan,It cannot be said
2,Megan said it would be liberating to go out without makeup.,The girl always wore makeup when she left the house.,Who is the girl?,"['A different girl from Megan', 'Megan', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Megan said it would be liberating to go out without makeup.
Target sentence: The girl always wore makeup when she left the house.
Question: Who is the girl?
Choices:

1. A different girl from Megan
2. Megan
3. It cannot be said
 The correct answer is:","[('A different girl from Megan', 0.25418534874916077), ('Megan', 0.6097589731216431), ('It cannot be said', 0.1360556185245514)]","[('A different girl from Megan', 0.06951657682657242), ('Megan', 0.028978820890188217), ('It cannot be said', 0.901504635810852)]",Megan,It cannot be said
3,Lindsey loved the taste of duck,The girl ordered the kung pao chicken for dinner.,Who is the girl?,"['A different girl from Lindsey', 'Lindasy', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Lindsey loved the taste of duck
Target sentence: The girl ordered the kung pao chicken for dinner.
Question: Who is the girl?
Choices:

1. A different girl from Lindsey
2. Lindasy
3. It cannot be said
 The correct answer is:","[('A different girl from Lindsey', 0.28376853466033936), ('Lindasy', 0.564341127872467), ('It cannot be said', 0.1518903523683548)]","[('A different girl from Lindsey', 0.3482074439525604), ('Lindasy', 0.0776955857872963), ('It cannot be said', 0.5740970373153687)]",Lindasy,It cannot be said
4,Lindsey loved the taste of duck,The girl ordered the Peking Duck for dinner.,Who is the girl?,"['A different girl from Lindsey', 'Lindsay', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Lindsey loved the taste of duck
Target sentence: The girl ordered the Peking Duck for dinner.
Question: Who is the girl?
Choices:

1. A different girl from Lindsey
2. Lindsay
3. It cannot be said
 The correct answer is:","[('A different girl from Lindsey', 0.25197431445121765), ('Lindsay', 0.6044549942016602), ('It cannot be said', 0.1435706466436386)]","[('A different girl from Lindsey', 0.26380202174186707), ('Lindsay', 0.019109753891825676), ('It cannot be said', 0.7170882225036621)]",Lindsay,It cannot be said
5,Handling emergencies was never very difficult for Kevin,The man could remain calm under pressure.,Who is the man?,"['A different man from Kevin', 'Kevin', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Handling emergencies was never very difficult for Kevin
Target sentence: The man could remain calm under pressure.
Question: Who is the man?
Choices:

1. A different man from Kevin
2. Kevin
3. It cannot be said
 The correct answer is:","[('A different man from Kevin', 0.18789994716644287), ('Kevin', 0.6981329917907715), ('It cannot be said', 0.11396707594394684)]","[('A different man from Kevin', 0.14127448201179504), ('Kevin', 0.14127448201179504), ('It cannot be said', 0.7174510359764099)]",Kevin,It cannot be said
6,Handling emergencies was never very difficult for Kevin,The man wasn't able to remain calm under pressure.,Who is the girl?,"['A different man from Kevin', 'Kevin', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Handling emergencies was never very difficult for Kevin
Target sentence: The man wasn't able to remain calm under pressure.
Question: Who is the girl?
Choices:

1. A different man from Kevin
2. Kevin
3. It cannot be said
 The correct answer is:","[('A different man from Kevin', 0.24472826719284058), ('Kevin', 0.5870726108551025), ('It cannot be said', 0.16819912195205688)]","[('A different man from Kevin', 0.23117944598197937), ('Kevin', 0.010812405496835709), ('It cannot be said', 0.7580081820487976)]",Kevin,It cannot be said
7,Elena had a horrendous coughing fit from the pollen.,The girl was immune to allergies.,Who is the girl?,"['A different girl from Elena', 'Elena', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Elena had a horrendous coughing fit from the pollen.
Target sentence: The girl was immune to allergies.
Question: Who is the girl?
Choices:

1. A different girl from Elena
2. Elena
3. It cannot be said
 The correct answer is:","[('A different girl from Elena', 0.33396652340888977), ('Elena', 0.5506176948547363), ('It cannot be said', 0.11541573703289032)]","[('A different girl from Elena', 0.17095278203487396), ('Elena', 0.06289001554250717), ('It cannot be said', 0.7661572098731995)]",Elena,It cannot be said
8,Elena had a horrendous coughing fit from the pollen.,The girl was susceptible to allergies.,Who is the girl?,"['A different girl from Elena', 'Elena', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Elena had a horrendous coughing fit from the pollen.
Target sentence: The girl was susceptible to allergies.
Question: Who is the girl?
Choices:

1. A different girl from Elena
2. Elena
3. It cannot be said
 The correct answer is:","[('A different girl from Elena', 0.18100006878376007), ('Elena', 0.7158691883087158), ('It cannot be said', 0.10313074290752411)]","[('A different girl from Elena', 0.17686891555786133), ('Elena', 0.07848510146141052), ('It cannot be said', 0.7446459531784058)]",Elena,It cannot be said
9,"Once in Poland, Dennis enjoyed the trip.",The guy had a shallow understanding of the Polish language.,Who is the guy?,"['A different guy from Dennis', 'Dennis', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Once in Poland, Dennis enjoyed the trip.
Target sentence: The guy had a shallow understanding of the Polish language.
Question: Who is the guy?
Choices:

1. A different guy from Dennis
2. Dennis
3. It cannot be said
 The correct answer is:","[('A different guy from Dennis', 0.18943434953689575), ('Dennis', 0.6211313009262085), ('It cannot be said', 0.18943434953689575)]","[('A different guy from Dennis', 0.17288756370544434), ('Dennis', 0.14332883059978485), ('It cannot be said', 0.6837835907936096)]",Dennis,It cannot be said
10,"Once in Poland, Dennis enjoyed the trip.",The guy had a deeper understanding of the Polish language.,Who is the guy?,"['A different guy from Dennis', 'Dennis', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Once in Poland, Dennis enjoyed the trip.
Target sentence: The guy had a deeper understanding of the Polish language.
Question: Who is the guy?
Choices:

1. A different guy from Dennis
2. Dennis
3. It cannot be said
 The correct answer is:","[('A different guy from Dennis', 0.16964997351169586), ('Dennis', 0.6709786653518677), ('It cannot be said', 0.15937140583992004)]","[('A different guy from Dennis', 0.18236076831817627), ('Dennis', 0.16093282401561737), ('It cannot be said', 0.6567063927650452)]",Dennis,It cannot be said
11,The house Benjamin designed was beautiful.,The architect used it in his portfolio.,Who is the architect?,"['A different person from Benjamin', 'Benjamin', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The house Benjamin designed was beautiful.
Target sentence: The architect used it in his portfolio.
Question: Who is the architect?
Choices:

1. A different person from Benjamin
2. Benjamin
3. It cannot be said
 The correct answer is:","[('A different person from Benjamin', 0.2140229195356369), ('Benjamin', 0.6192958354949951), ('It cannot be said', 0.1666812151670456)]","[('A different person from Benjamin', 0.05251684784889221), ('Benjamin', 0.8215017318725586), ('It cannot be said', 0.1259813755750656)]",Benjamin,Benjamin
12,The house Benjamin designed was awful.,The architect used it in his portfolio.,Who is the architect?,"['A different person from Benjamin', 'Benjamin', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The house Benjamin designed was awful.
Target sentence: The architect used it in his portfolio.
Question: Who is the architect?
Choices:

1. A different person from Benjamin
2. Benjamin
3. It cannot be said
 The correct answer is:","[('A different person from Benjamin', 0.3773616850376129), ('Benjamin', 0.45518508553504944), ('It cannot be said', 0.16745324432849884)]","[('A different person from Benjamin', 0.07935991883277893), ('Benjamin', 0.801506757736206), ('It cannot be said', 0.1191333457827568)]",Benjamin,Benjamin
