ID,Target,Question,Choices,Human answer,Correct Answer,Context utterance,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,I saw a woman in my office,Who was the woman?,"['A stranger', 'My wife', 'My brother', 'My dog']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I saw a woman in my office
Question: Who was the woman?
Choices:

1. A stranger
2. My wife
3. My brother
4. My dog
 The correct answer is:","[('A stranger', 0.3642796576023102), ('My wife', 0.2665126919746399), ('My brother', 0.23519663512706757), ('My dog', 0.13401100039482117)]","[('A stranger', 0.1112256869673729), ('My wife', 0.20779694616794586), ('My brother', 0.6400596499443054), ('My dog', 0.040917642414569855)]",A stranger,My brother
2,I saw a woman in my office,Who was the woman?,"['A stranger', 'My wife', 'My brother', 'My dog']",,[1],She looked like my wife,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I saw a woman in my office
Question: Who was the woman?
Choices:

1. A stranger
2. My wife
3. My brother
4. My dog
 The correct answer is:","[('A stranger', 0.3642796576023102), ('My wife', 0.2665126919746399), ('My brother', 0.23519663512706757), ('My dog', 0.13401100039482117)]","[('A stranger', 0.1112256869673729), ('My wife', 0.20779694616794586), ('My brother', 0.6400596499443054), ('My dog', 0.040917642414569855)]",A stranger,My brother
3,I saw a woman in my office,Who was the woman?,"['My wife', 'A stranger', 'My brother', 'My dog']",,[1],She was my wife,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I saw a woman in my office
Question: Who was the woman?
Choices:

1. My wife
2. A stranger
3. My brother
4. My dog
 The correct answer is:","[('My wife', 0.14975996315479279), ('A stranger', 0.6711775660514832), ('My brother', 0.062429241836071014), ('My dog', 0.11663316935300827)]","[('My wife', 0.20779694616794586), ('A stranger', 0.1112256869673729), ('My brother', 0.6400596499443054), ('My dog', 0.040917642414569855)]",A stranger,My brother
4,John walked into a house yesterday and saw a tortoise.,Whose house was it?,"[""I don't know"", ""John's"", ""Of John's father"", 'Of the tortoise']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: John walked into a house yesterday and saw a tortoise.
Question: Whose house was it?
Choices:

1. I don't know
2. John's
3. Of John's father
4. Of the tortoise
 The correct answer is:","[(""I don't know"", 0.09347108751535416), (""John's"", 0.6095080375671387), (""Of John's father"", 0.2242254763841629), ('Of the tortoise', 0.07279535382986069)]","[(""I don't know"", 0.9004360437393188), (""John's"", 0.021509703248739243), (""Of John's father"", 0.019584808498620987), ('Of the tortoise', 0.058469437062740326)]",John's,I don't know
5,John walked into a house yesterday and saw a tortoise.,Whose house was it?,"[""I don't know"", ""John's"", ""Of John's father"", 'Of the tortoise']",,[1],The house was very clean.,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: John walked into a house yesterday and saw a tortoise.
Question: Whose house was it?
Choices:

1. I don't know
2. John's
3. Of John's father
4. Of the tortoise
 The correct answer is:","[(""I don't know"", 0.09347108751535416), (""John's"", 0.6095080375671387), (""Of John's father"", 0.2242254763841629), ('Of the tortoise', 0.07279535382986069)]","[(""I don't know"", 0.9004360437393188), (""John's"", 0.021509703248739243), (""Of John's father"", 0.019584808498620987), ('Of the tortoise', 0.058469437062740326)]",John's,I don't know
6,John walked into a house yesterday and saw a tortoise.,Whose house was it?,"[""John's"", ""I don't know"", ""Of John's father"", 'Of the tortoise']",,[1],From that moment it would become his home,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: John walked into a house yesterday and saw a tortoise.
Question: Whose house was it?
Choices:

1. John's
2. I don't know
3. Of John's father
4. Of the tortoise
 The correct answer is:","[(""John's"", 0.22336611151695251), (""I don't know"", 0.2694309651851654), (""Of John's father"", 0.2694309651851654), ('Of the tortoise', 0.23777198791503906)]","[(""John's"", 0.021509703248739243), (""I don't know"", 0.9004360437393188), (""Of John's father"", 0.019584808498620987), ('Of the tortoise', 0.058469437062740326)]",I don't know,I don't know
7,I've just found a lighter,Whose lighter is it?,"[""I don't know"", 'Mine', 'Of my friend', 'Of the tobacconist']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I've just found a lighter
Question: Whose lighter is it?
Choices:

1. I don't know
2. Mine
3. Of my friend
4. Of the tobacconist
 The correct answer is:","[(""I don't know"", 0.14063672721385956), ('Mine', 0.31692975759506226), ('Of my friend', 0.2627439796924591), ('Of the tobacconist', 0.2796895205974579)]","[(""I don't know"", 0.864273726940155), ('Mine', 4.200778221274959e-06), ('Of my friend', 0.0010941901709884405), ('Of the tobacconist', 0.13462787866592407)]",Mine,I don't know
8,I've just found a lighter,Whose lighter is it?,"[""I don't know"", 'Mine', 'Of my friend', 'Of the tobacconist']",,[1],It has the same color as mine,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I've just found a lighter
Question: Whose lighter is it?
Choices:

1. I don't know
2. Mine
3. Of my friend
4. Of the tobacconist
 The correct answer is:","[(""I don't know"", 0.14063672721385956), ('Mine', 0.31692975759506226), ('Of my friend', 0.2627439796924591), ('Of the tobacconist', 0.2796895205974579)]","[(""I don't know"", 0.864273726940155), ('Mine', 4.200778221274959e-06), ('Of my friend', 0.0010941901709884405), ('Of the tobacconist', 0.13462787866592407)]",Mine,I don't know
9,I've just found a lighter,Whose lighter is it?,"['Mine', ""I don't know"", 'Of my friend', 'Of the tobacconist']",,[1],That's what I had lost,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I've just found a lighter
Question: Whose lighter is it?
Choices:

1. Mine
2. I don't know
3. Of my friend
4. Of the tobacconist
 The correct answer is:","[('Mine', 0.16236849129199982), (""I don't know"", 0.2677003741264343), ('Of my friend', 0.2849655747413635), ('Of the tobacconist', 0.2849655747413635)]","[('Mine', 4.200778221274959e-06), (""I don't know"", 0.864273726940155), ('Of my friend', 0.0010941901709884405), ('Of the tobacconist', 0.13462787866592407)]",Of my friend,I don't know
10,"Be careful, there is a child in the car with me",Who is the baby?,"[""I don't know"", 'My son', 'My sister', 'My dad']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Be careful, there is a child in the car with me
Question: Who is the baby?
Choices:

1. I don't know
2. My son
3. My sister
4. My dad
 The correct answer is:","[(""I don't know"", 0.111382856965065), ('My son', 0.6409640908241272), ('My sister', 0.1430184245109558), ('My dad', 0.10463451594114304)]","[(""I don't know"", 0.957522988319397), ('My son', 0.01699806936085224), ('My sister', 0.024732043966650963), ('My dad', 0.0007468429976142943)]",My son,I don't know
