ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,"It would be nice to drink something hot, tea for instance.","Honey, my guest wants some tea",What is the intended meaning of the target?,"['I am asking someone to prepare tea for my guest', ""I'm telling someone that my guest wants some tea"", ""I'm telling someone that my guest is thirsty"", 'I want some tea']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: It would be nice to drink something hot, tea for instance.
Target sentence: Honey, my guest wants some tea
Question: What is the intended meaning of the target?
Choices:

1. I am asking someone to prepare tea for my guest
2. I'm telling someone that my guest wants some tea
3. I'm telling someone that my guest is thirsty
4. I want some tea
 The correct answer is:","[('I am asking someone to prepare tea for my guest', 0.16585087776184082), (""I'm telling someone that my guest wants some tea"", 0.6162107586860657), (""I'm telling someone that my guest is thirsty"", 0.12916478514671326), ('I want some tea', 0.08877357840538025)]","[('I am asking someone to prepare tea for my guest', 0.3052607476711273), (""I'm telling someone that my guest wants some tea"", 0.5032898783683777), (""I'm telling someone that my guest is thirsty"", 0.12333648651838303), ('I want some tea', 0.06811287999153137)]",I'm telling someone that my guest wants some tea,I'm telling someone that my guest wants some tea
2,"Sorry , I don't smoke .",Do you have a lighter?,What is the intended meaning of the target?,"['I want you to lend me your lighter', 'I want to know if you have a lighter', 'I want to know what you think about smoking', ""I don't like smoking""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Sorry , I don't smoke .
Target sentence: Do you have a lighter?
Question: What is the intended meaning of the target?
Choices:

1. I want you to lend me your lighter
2. I want to know if you have a lighter
3. I want to know what you think about smoking
4. I don't like smoking
 The correct answer is:","[('I want you to lend me your lighter', 0.2163834273815155), ('I want to know if you have a lighter', 0.5190768837928772), ('I want to know what you think about smoking', 0.14871801435947418), (""I don't like smoking"", 0.1158217117190361)]","[('I want you to lend me your lighter', 0.14556600153446198), ('I want to know if you have a lighter', 0.4848088026046753), ('I want to know what you think about smoking', 0.2986820340156555), (""I don't like smoking"", 0.0709432065486908)]",I want to know if you have a lighter,I want to know if you have a lighter
3,Welcome to my new home,We usually take off our shoes when we enter the house so as not to ruin the parquet,What is the intended meaning of the target?,"['We are asking the guest to remove his shoes before entering the house', 'We are telling the guest our habit of removing our shoes before entering the house', 'We are telling the guest the importance of being shoeless in the house', 'We are telling the guest how important the new parquet is']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Welcome to my new home
Target sentence: We usually take off our shoes when we enter the house so as not to ruin the parquet
Question: What is the intended meaning of the target?
Choices:

1. We are asking the guest to remove his shoes before entering the house
2. We are telling the guest our habit of removing our shoes before entering the house
3. We are telling the guest the importance of being shoeless in the house
4. We are telling the guest how important the new parquet is
 The correct answer is:","[('We are asking the guest to remove his shoes before entering the house', 0.304318904876709), ('We are telling the guest our habit of removing our shoes before entering the house', 0.47133833169937134), ('We are telling the guest the importance of being shoeless in the house', 0.10516980290412903), ('We are telling the guest how important the new parquet is', 0.11917299032211304)]","[('We are asking the guest to remove his shoes before entering the house', 0.43596407771110535), ('We are telling the guest our habit of removing our shoes before entering the house', 0.24076223373413086), ('We are telling the guest the importance of being shoeless in the house', 0.18173685669898987), ('We are telling the guest how important the new parquet is', 0.14153681695461273)]",We are telling the guest our habit of removing our shoes before entering the house,We are asking the guest to remove his shoes before entering the house
4,I just want to smoke a cigarette before we go,"You know, smoking does do harm to your health .",What is the intended meaning of the target?,"['You should not smoke', ""I'm telling that smoking is not good for you"", ""I'm explaining that smoking harms people's health"", ""I'm thinking of starting to smoke""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I just want to smoke a cigarette before we go
Target sentence: You know, smoking does do harm to your health .
Question: What is the intended meaning of the target?
Choices:

1. You should not smoke
2. I'm telling that smoking is not good for you
3. I'm explaining that smoking harms people's health
4. I'm thinking of starting to smoke
 The correct answer is:","[('You should not smoke', 0.16861192882061005), (""I'm telling that smoking is not good for you"", 0.5528572201728821), (""I'm explaining that smoking harms people's health"", 0.21650199592113495), (""I'm thinking of starting to smoke"", 0.06202886253595352)]","[('You should not smoke', 0.2871552109718323), (""I'm telling that smoking is not good for you"", 0.3804188370704651), (""I'm explaining that smoking harms people's health"", 0.1636161059141159), (""I'm thinking of starting to smoke"", 0.16880983114242554)]",I'm telling that smoking is not good for you,I'm telling that smoking is not good for you
5,I'm glad you agreed to study at my house,"Yes but I'm exhausted, I really need a coffee",What is the intended meaning of the target?,"[""I'm asking for a coffee"", ""I'm saying that coffee is useful for staying awake"", ""I'm saying I like coffee"", ""I'm asking your opinion about coffee""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I'm glad you agreed to study at my house
Target sentence: Yes but I'm exhausted, I really need a coffee
Question: What is the intended meaning of the target?
Choices:

1. I'm asking for a coffee
2. I'm saying that coffee is useful for staying awake
3. I'm saying I like coffee
4. I'm asking your opinion about coffee
 The correct answer is:","[(""I'm asking for a coffee"", 0.2913326025009155), (""I'm saying that coffee is useful for staying awake"", 0.2131434828042984), (""I'm saying I like coffee"", 0.12144549190998077), (""I'm asking your opinion about coffee"", 0.3740784525871277)]","[(""I'm asking for a coffee"", 0.18572142720222473), (""I'm saying that coffee is useful for staying awake"", 0.5720622539520264), (""I'm saying I like coffee"", 0.062208883464336395), (""I'm asking your opinion about coffee"", 0.18000736832618713)]",I'm asking your opinion about coffee,I'm saying that coffee is useful for staying awake
6,"I feel like going for a drink , it's been a long day.",How about the new bar across the road?,What is the intended meaning of the target?,"[""I'm inviting you to go to the new bar across the road"", 'I want to know what you think about the new bar across the road', ""I'm ordering you to go to the new bar across the road"", ""I'm saying that there is a new bar across the road""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I feel like going for a drink , it's been a long day.
Target sentence: How about the new bar across the road?
Question: What is the intended meaning of the target?
Choices:

1. I'm inviting you to go to the new bar across the road
2. I want to know what you think about the new bar across the road
3. I'm ordering you to go to the new bar across the road
4. I'm saying that there is a new bar across the road
 The correct answer is:","[(""I'm inviting you to go to the new bar across the road"", 0.17973078787326813), ('I want to know what you think about the new bar across the road', 0.5893145203590393), (""I'm ordering you to go to the new bar across the road"", 0.06211329251527786), (""I'm saying that there is a new bar across the road"", 0.1688414365053177)]","[(""I'm inviting you to go to the new bar across the road"", 0.18949036300182343), ('I want to know what you think about the new bar across the road', 0.4763787090778351), (""I'm ordering you to go to the new bar across the road"", 0.09830630570650101), (""I'm saying that there is a new bar across the road"", 0.2358245551586151)]",I want to know what you think about the new bar across the road,I want to know what you think about the new bar across the road
7,"I'm afraid of being late and missing the train, I don't even know what time it is.",Oh but you have a watch,What is the intended meaning of the target?,"[""I'm asking you to tell me the time"", 'I just noticed your watch', 'I like your new watch', ""I'm asking you to lend me the watch""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I'm afraid of being late and missing the train, I don't even know what time it is.
Target sentence: Oh but you have a watch
Question: What is the intended meaning of the target?
Choices:

1. I'm asking you to tell me the time
2. I just noticed your watch
3. I like your new watch
4. I'm asking you to lend me the watch
 The correct answer is:","[(""I'm asking you to tell me the time"", 0.32824787497520447), ('I just noticed your watch', 0.42147862911224365), ('I like your new watch', 0.11343943327665329), (""I'm asking you to lend me the watch"", 0.1368340700864792)]","[(""I'm asking you to tell me the time"", 0.5759297609329224), ('I just noticed your watch', 0.02651898004114628), ('I like your new watch', 0.025703076273202896), (""I'm asking you to lend me the watch"", 0.3718481957912445)]",I just noticed your watch,I'm asking you to tell me the time
8,Do you need more eggs for the omelette?,Yes but my hands are full,What is the intended meaning of the target?,"[""I'm asking you to put another egg in the omelette"", ""I'm telling you I have something in my hand"", ""I'm telling you I'm busy doing something"", 'I want to shake your hand']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Do you need more eggs for the omelette?
Target sentence: Yes but my hands are full
Question: What is the intended meaning of the target?
Choices:

1. I'm asking you to put another egg in the omelette
2. I'm telling you I have something in my hand
3. I'm telling you I'm busy doing something
4. I want to shake your hand
 The correct answer is:","[(""I'm asking you to put another egg in the omelette"", 0.18420277535915375), (""I'm telling you I have something in my hand"", 0.5673844814300537), (""I'm telling you I'm busy doing something"", 0.14345726370811462), ('I want to shake your hand', 0.10495557636022568)]","[(""I'm asking you to put another egg in the omelette"", 0.7590932250022888), (""I'm telling you I have something in my hand"", 0.1339879184961319), (""I'm telling you I'm busy doing something"", 0.049291402101516724), ('I want to shake your hand', 0.05762748420238495)]",I'm telling you I have something in my hand,I'm asking you to put another egg in the omelette
9,A package arrived for you this morning,"I won't arrive until tomorrow, could you check what's inside?",What is the intended meaning of the target?,"[""I'm asking you to open the box"", ""I'm asking you what is in the box"", ""I'm asking you if you know what's in the box"", ""I'm asking you to leave the box closed until tomorrow""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: A package arrived for you this morning
Target sentence: I won't arrive until tomorrow, could you check what's inside?
Question: What is the intended meaning of the target?
Choices:

1. I'm asking you to open the box
2. I'm asking you what is in the box
3. I'm asking you if you know what's in the box
4. I'm asking you to leave the box closed until tomorrow
 The correct answer is:","[(""I'm asking you to open the box"", 0.25447437167167664), (""I'm asking you what is in the box"", 0.37025803327560425), (""I'm asking you if you know what's in the box"", 0.21096667647361755), (""I'm asking you to leave the box closed until tomorrow"", 0.16430100798606873)]","[(""I'm asking you to open the box"", 0.1507919281721115), (""I'm asking you what is in the box"", 0.1461525410413742), (""I'm asking you if you know what's in the box"", 0.5780445337295532), (""I'm asking you to leave the box closed until tomorrow"", 0.1250109076499939)]",I'm asking you what is in the box,I'm asking you if you know what's in the box
10,I'm going to the supermarket do you want to come?,"Sorry, what did you say?",What is the intended meaning of the target?,"[""I didn't understand what you said, can you repeat it?"", ""I didn't understand what you said"", ""I don't want to go to the supermarket"", ""I'm sorry for what you said""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: I'm going to the supermarket do you want to come?
Target sentence: Sorry, what did you say?
Question: What is the intended meaning of the target?
Choices:

1. I didn't understand what you said, can you repeat it?
2. I didn't understand what you said
3. I don't want to go to the supermarket
4. I'm sorry for what you said
 The correct answer is:","[(""I didn't understand what you said, can you repeat it?"", 0.23051287233829498), (""I didn't understand what you said"", 0.2959843873977661), (""I don't want to go to the supermarket"", 0.15842902660369873), (""I'm sorry for what you said"", 0.31507372856140137)]","[(""I didn't understand what you said, can you repeat it?"", 0.5710599422454834), (""I didn't understand what you said"", 0.1853960156440735), (""I don't want to go to the supermarket"", 0.23072907328605652), (""I'm sorry for what you said"", 0.012815036810934544)]",I'm sorry for what you said,"I didn't understand what you said, can you repeat it?"
