ID,Target,Context utterance,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,They were arguing about the production. ,The assembly line needed to be adjusted right away.,Who was arguing about production?,"['The workers', 'The dancers', 'The engineers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The assembly line needed to be adjusted right away.
Target sentence: They were arguing about the production. 
Question: Who was arguing about production?
Choices:

1. The workers
2. The dancers
3. The engineers
4. It cannot be said
 The correct answer is:","[('The workers', 0.2601936459541321), ('The dancers', 0.2948380410671234), ('The engineers', 0.27697470784187317), ('It cannot be said', 0.1679936647415161)]","[('The workers', 0.6684717535972595), ('The dancers', 0.0014622760936617851), ('The engineers', 0.06828869134187698), ('It cannot be said', 0.26177728176116943)]",The dancers,The workers
2,They were arguing about the production. ,The chorus line needed to be adjusted right away.,Who was arguing about production?,"['The dancers', 'The workers', 'The engineers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The chorus line needed to be adjusted right away.
Target sentence: They were arguing about the production. 
Question: Who was arguing about production?
Choices:

1. The dancers
2. The workers
3. The engineers
4. It cannot be said
 The correct answer is:","[('The dancers', 0.18736101686954498), ('The workers', 0.4784431457519531), ('The engineers', 0.2560921609401703), ('It cannot be said', 0.0781036987900734)]","[('The dancers', 0.4917447566986084), ('The workers', 0.028622977435588837), ('The engineers', 0.003016839502379298), ('It cannot be said', 0.4766153395175934)]",The workers,The dancers
3,They were arguing about the production. ,The line needed to be adjusted right away.,Who was arguing about production?,"['The engineers', 'The workers', 'The dancers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The line needed to be adjusted right away.
Target sentence: They were arguing about the production. 
Question: Who was arguing about production?
Choices:

1. The engineers
2. The workers
3. The dancers
4. It cannot be said
 The correct answer is:","[('The engineers', 0.4825146496295929), ('The workers', 0.21411457657814026), ('The dancers', 0.21411457657814026), ('It cannot be said', 0.08925623446702957)]","[('The engineers', 0.02783278003334999), ('The workers', 0.1458333432674408), ('The dancers', 0.08573100715875626), ('It cannot be said', 0.7406028509140015)]",The engineers,It cannot be said
4,She tested the filling.,The custard was smooth and even.,Who was testing the filling?,"['The baker', 'The dentist', 'The mechanic', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The custard was smooth and even.
Target sentence: She tested the filling.
Question: Who was testing the filling?
Choices:

1. The baker
2. The dentist
3. The mechanic
4. It cannot be said
 The correct answer is:","[('The baker', 0.282135933637619), ('The dentist', 0.4951639473438263), ('The mechanic', 0.08083329349756241), ('It cannot be said', 0.14186684787273407)]","[('The baker', 0.1392548680305481), ('The dentist', 0.022732732817530632), ('The mechanic', 0.13081784546375275), ('It cannot be said', 0.7071945667266846)]",The dentist,It cannot be said
5,She tested the filling.,The metal was smooth and even.,Who was testing the filling?,"['The dentist', 'The baker', 'The mechanic', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The metal was smooth and even.
Target sentence: She tested the filling.
Question: Who was testing the filling?
Choices:

1. The dentist
2. The baker
3. The mechanic
4. It cannot be said
 The correct answer is:","[('The dentist', 0.2885095477104187), ('The baker', 0.2885095477104187), ('The mechanic', 0.2246914654970169), ('It cannot be said', 0.19828952848911285)]","[('The dentist', 0.07267304509878159), ('The baker', 0.007659683004021645), ('The mechanic', 0.034328315407037735), ('It cannot be said', 0.8853389620780945)]",The dentist,It cannot be said
6,She tested the filling.,The brake fluid was within the alloud limits.,Who was testing the filling?,"['The mechanic', 'The baker', 'The dentist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The brake fluid was within the alloud limits.
Target sentence: She tested the filling.
Question: Who was testing the filling?
Choices:

1. The mechanic
2. The baker
3. The dentist
4. It cannot be said
 The correct answer is:","[('The mechanic', 0.4812866747379303), ('The baker', 0.2576141953468323), ('The dentist', 0.16632823646068573), ('It cannot be said', 0.09477096796035767)]","[('The mechanic', 0.7778671383857727), ('The baker', 0.004625367466360331), ('The dentist', 0.0015016368124634027), ('It cannot be said', 0.21600589156150818)]",The mechanic,The mechanic
7,He complained about the trunk.,The log was too large for just one man to move.,Who was complaining about the trunk?,"['The lumberjack', 'The bellhop', 'The architect', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The log was too large for just one man to move.
Target sentence: He complained about the trunk.
Question: Who was complaining about the trunk?
Choices:

1. The lumberjack
2. The bellhop
3. The architect
4. It cannot be said
 The correct answer is:","[('The lumberjack', 0.3595631718635559), ('The bellhop', 0.29808831214904785), ('The architect', 0.192460298538208), ('It cannot be said', 0.14988823235034943)]","[('The lumberjack', 0.8718261122703552), ('The bellhop', 0.009098322130739689), ('The architect', 0.0010866395896300673), ('It cannot be said', 0.11798883229494095)]",The lumberjack,The lumberjack
8,He complained about the trunk.,The luggage was too large for just one man to move.,Who was complaining about the trunk?,"['The bellhop', 'The lumberjack', 'The architect', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The luggage was too large for just one man to move.
Target sentence: He complained about the trunk.
Question: Who was complaining about the trunk?
Choices:

1. The bellhop
2. The lumberjack
3. The architect
4. It cannot be said
 The correct answer is:","[('The bellhop', 0.3345314860343933), ('The lumberjack', 0.4867404103279114), ('The architect', 0.07012160867452621), ('It cannot be said', 0.10860646516084671)]","[('The bellhop', 0.1965092122554779), ('The lumberjack', 0.5866681337356567), ('The architect', 0.000999459414742887), ('It cannot be said', 0.21582314372062683)]",The lumberjack,The lumberjack
9,He complained about the trunk.,That part of the house did not correspond to the design.,Who was complaining about the trunk?,"['The architect', 'The lumberjack', 'The bellhop', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: That part of the house did not correspond to the design.
Target sentence: He complained about the trunk.
Question: Who was complaining about the trunk?
Choices:

1. The architect
2. The lumberjack
3. The bellhop
4. It cannot be said
 The correct answer is:","[('The architect', 0.1800215244293213), ('The lumberjack', 0.5545053482055664), ('The bellhop', 0.1691145896911621), ('It cannot be said', 0.09635858237743378)]","[('The architect', 0.039180681109428406), ('The lumberjack', 0.32805582880973816), ('The bellhop', 0.0570075549185276), ('It cannot be said', 0.5757558941841125)]",The lumberjack,It cannot be said
10,They were pleased with the corn,The chowder they had prepared looked hearty,Who was pleased?,"['The chefs', 'The scientists', 'The farmers', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The chowder they had prepared looked hearty
Target sentence: They were pleased with the corn
Question: Who was pleased?
Choices:

1. The chefs
2. The scientists
3. The farmers
4. It cannot be said
 The correct answer is:","[('The chefs', 0.43409162759780884), ('The scientists', 0.23235251009464264), ('The farmers', 0.19262699782848358), ('It cannot be said', 0.14092890918254852)]","[('The chefs', 0.031040577217936516), ('The scientists', 0.0014517870731651783), ('The farmers', 0.11532972753047943), ('It cannot be said', 0.8521778583526611)]",The chefs,It cannot be said
