ID,Context utterance,Completions,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,"Kyle doesn't wear leg warmers to bed, while Logan almost always does.","['Logan is more likely to live in a colder climate', 'Logan is more likely to live in a warmer climate', 'Kyle and Logan are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Kyle doesn't wear leg warmers to bed, while Logan almost always does.

Choices:

1. Logan is more likely to live in a colder climate
2. Logan is more likely to live in a warmer climate
3. Kyle and Logan are good friends
 The correct answer is:","[('Logan is more likely to live in a colder climate', 0.3077552914619446), ('Logan is more likely to live in a warmer climate', 0.2715930938720703), ('Kyle and Logan are good friends', 0.4206515848636627)]","[('Logan is more likely to live in a colder climate', 0.38331639766693115), ('Logan is more likely to live in a warmer climate', 0.29389888048171997), ('Kyle and Logan are good friends', 0.32278475165367126)]",Kyle and Logan are good friends,Logan is more likely to live in a colder climate
2,The GPS and map helped me navigate home.,"['I got lost when the GPS got turned off.', 'I got lost when the GPS got turned upside down.', 'GPS are better than maps']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The GPS and map helped me navigate home.

Choices:

1. I got lost when the GPS got turned off.
2. I got lost when the GPS got turned upside down.
3. GPS are better than maps
 The correct answer is:","[('I got lost when the GPS got turned off.', 0.3077552914619446), ('I got lost when the GPS got turned upside down.', 0.2715930938720703), ('GPS are better than maps', 0.4206515848636627)]","[('I got lost when the GPS got turned off.', 0.6783121228218079), ('I got lost when the GPS got turned upside down.', 0.2740628719329834), ('GPS are better than maps', 0.04762498661875725)]",GPS are better than maps,I got lost when the GPS got turned off.
3,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.,"['Cleaning the plastic is quick.', 'Cleaning the plastic is time consuming.', ""The wooden chairs don't match the plastic table""]",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.

Choices:

1. Cleaning the plastic is quick.
2. Cleaning the plastic is time consuming.
3. The wooden chairs don't match the plastic table
 The correct answer is:","[('Cleaning the plastic is quick.', 0.6095105409622192), ('Cleaning the plastic is time consuming.', 0.3262474834918976), (""The wooden chairs don't match the plastic table"", 0.0642419382929802)]","[('Cleaning the plastic is quick.', 0.054169781506061554), ('Cleaning the plastic is time consuming.', 0.2210465371608734), (""The wooden chairs don't match the plastic table"", 0.7247836589813232)]",Cleaning the plastic is quick.,The wooden chairs don't match the plastic table
4,Megan has a lot less money than Jessica.,"['Jessica just bought the winning lottery ticket.', 'Megan just bought the winning lottery ticket.', 'Megan and Jessica are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Megan has a lot less money than Jessica.

Choices:

1. Jessica just bought the winning lottery ticket.
2. Megan just bought the winning lottery ticket.
3. Megan and Jessica are good friends.
 The correct answer is:","[('Jessica just bought the winning lottery ticket.', 0.21194155514240265), ('Megan just bought the winning lottery ticket.', 0.21194155514240265), ('Megan and Jessica are good friends.', 0.5761168599128723)]","[('Jessica just bought the winning lottery ticket.', 0.4353550374507904), ('Megan just bought the winning lottery ticket.', 0.3087129592895508), ('Megan and Jessica are good friends.', 0.2559320032596588)]",Megan and Jessica are good friends.,Jessica just bought the winning lottery ticket.
5,The geese prefer to nest in the fields rather than the forests.,"['In the fields predators are very visible.', 'In the fields predators are more hidden.', 'The fields and the forests have the same amount of predators.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The geese prefer to nest in the fields rather than the forests.

Choices:

1. In the fields predators are very visible.
2. In the fields predators are more hidden.
3. The fields and the forests have the same amount of predators.
 The correct answer is:","[('In the fields predators are very visible.', 0.3005141019821167), ('In the fields predators are more hidden.', 0.465445339679718), ('The fields and the forests have the same amount of predators.', 0.23404061794281006)]","[('In the fields predators are very visible.', 0.026913996785879135), ('In the fields predators are more hidden.', 0.05352487415075302), ('The fields and the forests have the same amount of predators.', 0.9195610880851746)]",In the fields predators are more hidden.,The fields and the forests have the same amount of predators.
6,The plant took up too much room in the urn.,"['The plant was large.', 'The plant was small.', 'The urn was large']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The plant took up too much room in the urn.

Choices:

1. The plant was large.
2. The plant was small.
3. The urn was large
 The correct answer is:","[('The plant was large.', 0.303922176361084), ('The plant was small.', 0.5333999991416931), ('The urn was large', 0.1626778095960617)]","[('The plant was large.', 0.20095649361610413), ('The plant was small.', 0.4973720908164978), ('The urn was large', 0.30167141556739807)]",The plant was small.,The plant was small.
7,Megan said it would be liberating to go out without makeup like Elena does.,"['Elena never wore makeup when she left the house.', 'Elena always wore makeup when she left the house.', 'Elena and Megare are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Megan said it would be liberating to go out without makeup like Elena does.

Choices:

1. Elena never wore makeup when she left the house.
2. Elena always wore makeup when she left the house.
3. Elena and Megare are good friends
 The correct answer is:","[('Elena never wore makeup when she left the house.', 0.32946112751960754), ('Elena always wore makeup when she left the house.', 0.27313289046287537), ('Elena and Megare are good friends', 0.3974060118198395)]","[('Elena never wore makeup when she left the house.', 0.42264360189437866), ('Elena always wore makeup when she left the house.', 0.5599117875099182), ('Elena and Megare are good friends', 0.017444584518671036)]",Elena and Megare are good friends,Elena always wore makeup when she left the house.
8,Donald was richer than Leslie was.,"['Companies had found oil on the property of Donald', 'Companies had found oil on the property of Leslie', 'Donald and Leslie are good friends']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Donald was richer than Leslie was.

Choices:

1. Companies had found oil on the property of Donald
2. Companies had found oil on the property of Leslie
3. Donald and Leslie are good friends
 The correct answer is:","[('Companies had found oil on the property of Donald', 0.4338427484035492), ('Companies had found oil on the property of Leslie', 0.1323145627975464), ('Donald and Leslie are good friends', 0.4338427484035492)]","[('Companies had found oil on the property of Donald', 0.15915419161319733), ('Companies had found oil on the property of Leslie', 0.14951153099536896), ('Donald and Leslie are good friends', 0.6913343071937561)]",Companies had found oil on the property of Donald,Donald and Leslie are good friends
9,"Feeling a draft, William asked Neil to please close the front door.","['Neil was closer', 'Neil was farther away.', 'William was closer']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Feeling a draft, William asked Neil to please close the front door.

Choices:

1. Neil was closer
2. Neil was farther away.
3. William was closer
 The correct answer is:","[('Neil was closer', 0.286806583404541), ('Neil was farther away.', 0.20983217656612396), ('William was closer', 0.5033612251281738)]","[('Neil was closer', 0.024714931845664978), ('Neil was farther away.', 0.8712313771247864), ('William was closer', 0.10405375063419342)]",William was closer,Neil was farther away.
10,"When buying a home, Patricia doesn't have as much money to spend as Tanya","['Patricia buys a 1 bedroom house.', 'Patricia buys a 5 bedroom house.', 'Patricia and Tanya are good friends.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: When buying a home, Patricia doesn't have as much money to spend as Tanya

Choices:

1. Patricia buys a 1 bedroom house.
2. Patricia buys a 5 bedroom house.
3. Patricia and Tanya are good friends.
 The correct answer is:","[('Patricia buys a 1 bedroom house.', 0.27067500352859497), ('Patricia buys a 5 bedroom house.', 0.2542756199836731), ('Patricia and Tanya are good friends.', 0.47504937648773193)]","[('Patricia buys a 1 bedroom house.', 0.1454111933708191), ('Patricia buys a 5 bedroom house.', 0.19263853132724762), ('Patricia and Tanya are good friends.', 0.6619503498077393)]",Patricia and Tanya are good friends.,Patricia and Tanya are good friends.
