ID,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,Sarah and David danced under the moonlight at the party.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Sarah and David danced under the moonlight at the party.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.31290414929389954), ('No', 0.42768925428390503), ('It cannot be said', 0.2594066560268402)]","[('Yes', 0.041405294090509415), ('No', 0.01621454581618309), ('It cannot be said', 0.9423801302909851)]",No,It cannot be said
2,New York and Los Angeles hosted the biggest music festival of the year.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: New York and Los Angeles hosted the biggest music festival of the year.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.20691044628620148), ('Yes', 0.5987151861190796), ('It cannot be said', 0.19437435269355774)]","[('No', 0.00712519371882081), ('Yes', 0.05965851619839668), ('It cannot be said', 0.9332162141799927)]",Yes,It cannot be said
3,Emily and James cooked a delicious dinner for their friends.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Emily and James cooked a delicious dinner for their friends.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.26193323731422424), ('No', 0.5209164619445801), ('It cannot be said', 0.21715028584003448)]","[('Yes', 0.009689951315522194), ('No', 0.0019080647034570575), ('It cannot be said', 0.9884019494056702)]",No,It cannot be said
4,Alice and Bob built a beautiful sandcastle on the shore.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Alice and Bob built a beautiful sandcastle on the shore.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2914324402809143), ('No', 0.4513793885707855), ('It cannot be said', 0.25718823075294495)]","[('Yes', 0.04181781783699989), ('No', 0.006412970367819071), ('It cannot be said', 0.9517691731452942)]",No,It cannot be said
5,The tiger and the lion fought fiercely for dominance in the wild.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: The tiger and the lion fought fiercely for dominance in the wild.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.2960455119609833), ('Yes', 0.458524227142334), ('It cannot be said', 0.2454303503036499)]","[('No', 0.03189036622643471), ('Yes', 0.03613651916384697), ('It cannot be said', 0.9319730997085571)]",Yes,It cannot be said
6,Tokyo and Seoul signed a historic trade agreement.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Tokyo and Seoul signed a historic trade agreement.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.29747873544692993), ('No', 0.5220913887023926), ('It cannot be said', 0.18042996525764465)]","[('Yes', 0.037086326628923416), ('No', 0.006444637198001146), ('It cannot be said', 0.9564689993858337)]",No,It cannot be said
7,Jessica and Michael hiked to the top of the mountain and admired the view.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Jessica and Michael hiked to the top of the mountain and admired the view.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.33655139803886414), ('No', 0.4321405291557312), ('It cannot be said', 0.23130816221237183)]","[('Yes', 0.014933544211089611), ('No', 0.0015739839291200042), ('It cannot be said', 0.9834924936294556)]",No,It cannot be said
8,The bird and the squirrel played in the treetops.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: The bird and the squirrel played in the treetops.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.3077552914619446), ('No', 0.4206515848636627), ('It cannot be said', 0.2715930938720703)]","[('Yes', 0.052493225783109665), ('No', 0.01704205572605133), ('It cannot be said', 0.9304646849632263)]",No,It cannot be said
9,Emily and Daniel sang a duet that moved the audience to tears.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Emily and Daniel sang a duet that moved the audience to tears.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.27675342559814453), ('No', 0.4286440908908844), ('It cannot be said', 0.29460248351097107)]","[('Yes', 0.0258865337818861), ('No', 0.002728420542553067), ('It cannot be said', 0.9713850021362305)]",No,It cannot be said
10,Madrid and Barcelona competed fiercely in the soccer match.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Madrid and Barcelona competed fiercely in the soccer match.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.2583155632019043), ('Yes', 0.5137218236923218), ('It cannot be said', 0.2279626727104187)]","[('No', 0.002936576260253787), ('Yes', 0.014913163147866726), ('It cannot be said', 0.9821502566337585)]",Yes,It cannot be said
