ID,Context utterance,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
1,If you are staying late will you be sure to lock up the office before you leave?,I hope I won't leave within an hour,What is the intended meaning of the target?,"[""I will stay for at least another hour, so I'll lock the office"", 'I will leave in about an hour', ""I will not be staying late, so I can't be sure to lock the office"", 'I will be staying until late']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: If you are staying late will you be sure to lock up the office before you leave?
Target sentence: I hope I won't leave within an hour
Question: What is the intended meaning of the target?
Choices:

1. I will stay for at least another hour, so I'll lock the office
2. I will leave in about an hour
3. I will not be staying late, so I can't be sure to lock the office
4. I will be staying until late
 The correct answer is:","[(""I will stay for at least another hour, so I'll lock the office"", 0.32082703709602356), ('I will leave in about an hour', 0.1613219678401947), (""I will not be staying late, so I can't be sure to lock the office"", 0.28312885761260986), ('I will be staying until late', 0.2347220927476883)]","[(""I will stay for at least another hour, so I'll lock the office"", 0.3065154552459717), ('I will leave in about an hour', 0.1092914566397667), (""I will not be staying late, so I can't be sure to lock the office"", 0.5464228987693787), ('I will be staying until late', 0.037770118564367294)]","I will stay for at least another hour, so I'll lock the office","I will not be staying late, so I can't be sure to lock the office"
2,Let me help you with those packages?,"Thanks, but it is only three quarters to the block",What is the intended meaning of the target?,"[""It is not too far for me to carry the packages. You don't have to help me with those packages"", 'The place I need to reach is not too far', 'I like to carry the packages', 'I will take a car']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Let me help you with those packages?
Target sentence: Thanks, but it is only three quarters to the block
Question: What is the intended meaning of the target?
Choices:

1. It is not too far for me to carry the packages. You don't have to help me with those packages
2. The place I need to reach is not too far
3. I like to carry the packages
4. I will take a car
 The correct answer is:","[(""It is not too far for me to carry the packages. You don't have to help me with those packages"", 0.2673097550868988), ('The place I need to reach is not too far', 0.30290165543556213), ('I like to carry the packages', 0.22160759568214417), ('I will take a car', 0.20818106830120087)]","[(""It is not too far for me to carry the packages. You don't have to help me with those packages"", 0.8911630511283875), ('The place I need to reach is not too far', 0.05697014555335045), ('I like to carry the packages', 0.03915497288107872), ('I will take a car', 0.01271175779402256)]",The place I need to reach is not too far,It is not too far for me to carry the packages. You don't have to help me with those packages
3,This calculator is not working right?,I think you got the battery on upside down,What is the intended meaning of the target?,"['It is not working because the battery is not correctly positioned', 'The battery is not correctly positioned', 'The battery is broken', 'You need to buy a new battery']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: This calculator is not working right?
Target sentence: I think you got the battery on upside down
Question: What is the intended meaning of the target?
Choices:

1. It is not working because the battery is not correctly positioned
2. The battery is not correctly positioned
3. The battery is broken
4. You need to buy a new battery
 The correct answer is:","[('It is not working because the battery is not correctly positioned', 0.21321195363998413), ('The battery is not correctly positioned', 0.6990950703620911), ('The battery is broken', 0.03705068305134773), ('You need to buy a new battery', 0.05064227804541588)]","[('It is not working because the battery is not correctly positioned', 0.3205871880054474), ('The battery is not correctly positioned', 0.09184975922107697), ('The battery is broken', 0.0671987235546112), ('You need to buy a new battery', 0.5203643441200256)]",The battery is not correctly positioned,You need to buy a new battery
4,Does professor Ford always come to class?,She is ice cold.,What is the intended meaning of the target?,"['Yes. Professor Ford always come to class', 'Yes. She is unemotional', 'She is feeling cold', 'She needs to wear a scarf']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Does professor Ford always come to class?
Target sentence: She is ice cold.
Question: What is the intended meaning of the target?
Choices:

1. Yes. Professor Ford always come to class
2. Yes. She is unemotional
3. She is feeling cold
4. She needs to wear a scarf
 The correct answer is:","[('Yes. Professor Ford always come to class', 0.1731274127960205), ('Yes. She is unemotional', 0.1731274127960205), ('She is feeling cold', 0.5009607672691345), ('She needs to wear a scarf', 0.15278440713882446)]","[('Yes. Professor Ford always come to class', 0.8774709105491638), ('Yes. She is unemotional', 0.07091052085161209), ('She is feeling cold', 0.007243965286761522), ('She needs to wear a scarf', 0.04437466710805893)]",She is feeling cold,Yes. Professor Ford always come to class
5,"Dennis told us, he would like to play cards",But then why doesn't he have free time to invite someone,What is the intended meaning of the target?,"['I think Dennis does not really enjoy playing cards', ""He doesn't have free time to invite someone"", ""He doesn't want to invite someone"", ""He doesn't have friends""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Dennis told us, he would like to play cards
Target sentence: But then why doesn't he have free time to invite someone
Question: What is the intended meaning of the target?
Choices:

1. I think Dennis does not really enjoy playing cards
2. He doesn't have free time to invite someone
3. He doesn't want to invite someone
4. He doesn't have friends
 The correct answer is:","[('I think Dennis does not really enjoy playing cards', 0.11886844784021378), (""He doesn't have free time to invite someone"", 0.6840406656265259), (""He doesn't want to invite someone"", 0.09854540973901749), (""He doesn't have friends"", 0.09854540973901749)]","[('I think Dennis does not really enjoy playing cards', 0.15922385454177856), (""He doesn't have free time to invite someone"", 0.7135918140411377), (""He doesn't want to invite someone"", 0.12018847465515137), (""He doesn't have friends"", 0.006995807867497206)]",He doesn't have free time to invite someone,He doesn't have free time to invite someone
6,"Excuse me, I dont understand why flight 213 has been delayed.The weather seems fine now",I am afraid that newyork has 3 times as much snow as it did here. It should be clear bymorning though.,What is the intended meaning of the target?,"['The plane cannot land in newyork because of bad weather', 'New York has more snow than this place', 'In New York there are 3 feet of snow', 'It will snow all day tomorrow']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Excuse me, I dont understand why flight 213 has been delayed.The weather seems fine now
Target sentence: I am afraid that newyork has 3 times as much snow as it did here. It should be clear bymorning though.
Question: What is the intended meaning of the target?
Choices:

1. The plane cannot land in newyork because of bad weather
2. New York has more snow than this place
3. In New York there are 3 feet of snow
4. It will snow all day tomorrow
 The correct answer is:","[('The plane cannot land in newyork because of bad weather', 0.21487534046173096), ('New York has more snow than this place', 0.4548911154270172), ('In New York there are 3 feet of snow', 0.2287336140871048), ('It will snow all day tomorrow', 0.10149993002414703)]","[('The plane cannot land in newyork because of bad weather', 0.5061249732971191), ('New York has more snow than this place', 0.22110962867736816), ('In New York there are 3 feet of snow', 0.24284140765666962), ('It will snow all day tomorrow', 0.029923932626843452)]",New York has more snow than this place,The plane cannot land in newyork because of bad weather
7,Take a look at this giftstore .Maybe we can find something to get Janet for her new house,Okay but remember we cant afford a lot,What is the intended meaning of the target?,"['we should select an inexpensive gift', ""We can't afford some things"", 'We have little money', ""We don't want to waste our money""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Take a look at this giftstore .Maybe we can find something to get Janet for her new house
Target sentence: Okay but remember we cant afford a lot
Question: What is the intended meaning of the target?
Choices:

1. we should select an inexpensive gift
2. We can't afford some things
3. We have little money
4. We don't want to waste our money
 The correct answer is:","[('we should select an inexpensive gift', 0.19612319767475128), (""We can't afford some things"", 0.7286860942840576), ('We have little money', 0.0340811051428318), (""We don't want to waste our money"", 0.04110965505242348)]","[('we should select an inexpensive gift', 0.12434829026460648), (""We can't afford some things"", 0.14090506732463837), ('We have little money', 0.06252624839544296), (""We don't want to waste our money"", 0.6722204685211182)]",We can't afford some things,We don't want to waste our money
8,Are you still waiting for Bob?,I don’t know why I bother. The store wll be closed by the time we get there.,What is the intended meaning of the target?,"['Yes. It is too late to get to the store', 'The store will close before we arrive', 'The store will close earlier', 'The store is too far']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Are you still waiting for Bob?
Target sentence: I don’t know why I bother. The store wll be closed by the time we get there.
Question: What is the intended meaning of the target?
Choices:

1. Yes. It is too late to get to the store
2. The store will close before we arrive
3. The store will close earlier
4. The store is too far
 The correct answer is:","[('Yes. It is too late to get to the store', 0.23528432846069336), ('The store will close before we arrive', 0.6008195877075195), ('The store will close earlier', 0.10440678894519806), ('The store is too far', 0.05948919802904129)]","[('Yes. It is too late to get to the store', 0.5796447992324829), ('The store will close before we arrive', 0.25721582770347595), ('The store will close earlier', 0.07142625004053116), ('The store is too far', 0.09171312302350998)]",The store will close before we arrive,Yes. It is too late to get to the store
9,Mind if I leave my umbrella here in the hallway?,Not at all. But first shake it outside .Would you?,What is the intended meaning of the target?,"['No. But remove some water from the umbrella', 'Would you shake the object outside?', 'You must shake something before entering inside', ""You can't enter inside""]",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Mind if I leave my umbrella here in the hallway?
Target sentence: Not at all. But first shake it outside .Would you?
Question: What is the intended meaning of the target?
Choices:

1. No. But remove some water from the umbrella
2. Would you shake the object outside?
3. You must shake something before entering inside
4. You can't enter inside
 The correct answer is:","[('No. But remove some water from the umbrella', 0.2543241083621979), ('Would you shake the object outside?', 0.3939048945903778), ('You must shake something before entering inside', 0.23891539871692657), (""You can't enter inside"", 0.11285564303398132)]","[('No. But remove some water from the umbrella', 0.11563581228256226), ('Would you shake the object outside?', 0.8281511664390564), ('You must shake something before entering inside', 0.009491966105997562), (""You can't enter inside"", 0.046721089631319046)]",Would you shake the object outside?,Would you shake the object outside?
10, Don’t you think that professor Mark’s tests are too difficult?,well I must had been. I was expecting past more than a passing grade in Biology,What is the intended meaning of the target?,"['yes. I must think that Professor Mark’s tests are too difficul', 'I got a passing grade in Biology', 'I think my grade in Biology is wrong', 'I hate Biology']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance:  Don’t you think that professor Mark’s tests are too difficult?
Target sentence: well I must had been. I was expecting past more than a passing grade in Biology
Question: What is the intended meaning of the target?
Choices:

1. yes. I must think that Professor Mark’s tests are too difficul
2. I got a passing grade in Biology
3. I think my grade in Biology is wrong
4. I hate Biology
 The correct answer is:","[('yes. I must think that Professor Mark’s tests are too difficul', 0.2536439597606659), ('I got a passing grade in Biology', 0.445158988237381), ('I think my grade in Biology is wrong', 0.22383999824523926), ('I hate Biology', 0.07735703140497208)]","[('yes. I must think that Professor Mark’s tests are too difficul', 0.16266049444675446), ('I got a passing grade in Biology', 0.7760097980499268), ('I think my grade in Biology is wrong', 0.04733690246939659), ('I hate Biology', 0.013992761261761189)]",I got a passing grade in Biology,I got a passing grade in Biology
